account,avg_daily_pnl,total_pnl,avg_trades_per_day,avg_trade_size_usd,avg_gross_volume_usd,avg_effective_leverage,avg_win_rate,pnl_std,active_days,positive_day_ratio,frequency_segment,leverage_segment,consistency_segment
0x8477e447846c758f5a675856001ea72298fd9cb5,252.3966033103448,43917.008976,86.19540229885058,839.021370213006,70717.16574712643,140.7878035545563,0.3051995431656707,3367.9125184012946,174,0.7586206896551724,Frequent,Low Leverage,Consistent Winners
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,7032.163451888889,126578.942134,169.55555555555554,12481.488695021257,610686.43,2498.7886701574475,0.20333037461996042,15642.867721081608,18,0.3888888888888889,Frequent,High Leverage,Inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1660.982425875,106302.875256,243.828125,1273.0527781456335,310440.7496875,14.515814814985303,0.2739107378656304,2678.372530919574,64,0.71875,Frequent,Low Leverage,Consistent Winners
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,1968.8238992432432,72846.484272,11.27027027027027,2007.3297785771122,23292.145945945947,59.6550501435135,0.4114921219752971,7523.577871362993,37,0.43243243243243246,Infrequent,Low Leverage,Inconsistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,4523.0413020666665,67845.619531,37.53333333333333,2959.4760618012087,111828.38133333335,27.805212725981438,0.29853655922621436,8542.12051178745,15,0.4666666666666667,Infrequent,Low Leverage,Inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,1087.94158765,21758.831753,26.7,18919.354152424097,222416.163,9069.846567164455,0.31476939651867186,2029.2695425579955,20,0.55,Infrequent,High Leverage,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8372.588272222656,2143382.597689,57.55078125,4495.49655852293,220873.3016796875,563.653759930382,0.2845184831155218,39920.90858902897,256,0.484375,Infrequent,High Leverage,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,642.5285948857144,22488.500821,138.22857142857143,26246.518331080708,3110772.6028571427,1139.7217812199851,0.4325793426390197,12369.710508123975,35,0.7714285714285715,Frequent,High Leverage,Consistent Winners
0xbaaaf6571ab7d571043ff1e313a9609a10637864,33577.27879357143,940163.80622,756.8571428571429,4528.364242699367,2429869.294285714,29.58401084213949,0.45562479214327567,74757.66101524414,28,0.7857142857142857,Frequent,Low Leverage,Consistent Winners
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,3291.32928138806,220519.06185300002,39.417910447761194,10511.08274482338,309513.30910447764,160.33257662212947,0.22402073653037008,30273.449507840578,67,0.26865671641791045,Infrequent,Low Leverage,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,6382.294298297709,836080.553077,306.7480916030534,1760.5388452412292,565708.4766412213,59.114838138172665,0.41102928202983036,25629.432631190368,131,0.8015267175572519,Frequent,Low Leverage,Consistent Winners
