account,avg_daily_pnl,pnl_std,avg_win_rate,avg_trades_per_day,avg_trade_size_usd,avg_effective_leverage,avg_long_short_ratio,active_days,fear_exposure,greed_exposure,cluster,archetype
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,717.6646955625,2484.2443189649503,0.3639104417771443,59.15972222222222,516.6442989710463,13.423045851422147,1.7039105576582507,144,0.3263888888888889,0.4930555555555556,1,Archetype B
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,11685.293976603449,25344.268484609507,0.426408492962711,75.10344827586206,16024.724760769133,2259.1846075882913,15.670551898866538,58,0.5517241379310345,0.29310344827586204,0,Archetype C
0x4f93fead39b70a1824f981a54d4e55b278e9f760,962.5416502056074,7430.255413150263,0.30121366471109007,23.626168224299064,16038.456425115373,954.0820976615979,4.96482984873838,321,0.23052959501557632,0.6105919003115264,1,Archetype B
0x513b8629fe877bb581bf244e326a047b249c4ff1,21549.296287589743,42171.74469920306,0.3254950998749796,313.7435897435897,27603.84521556422,763.6097185473286,45.91052161807127,39,0.5641025641025641,0.2564102564102564,2,Archetype A
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2313.4301440851063,7470.04650016332,0.3411133250429654,20.74468085106383,867.1703611532234,170.9322991952082,4.069803348969972,47,0.46808510638297873,0.425531914893617,1,Archetype B
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,22597.66136394737,80215.01097553849,0.20335120373383359,83.6842105263158,9367.295108536868,31.143483899243698,17.69992894280175,19,0.5789473684210527,0.3684210526315789,2,Archetype A
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,5546.761692753847,23406.44232359817,0.21355719975901696,21.907692307692308,4688.041802175383,414.42615091731295,7.258142440136732,65,0.3076923076923077,0.5384615384615384,1,Archetype B
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2596.5438815821917,4762.374293945578,0.7105283610078542,67.76027397260275,3354.2092903010684,1285.7187005692626,3.2872466794382427,146,0.21232876712328766,0.6301369863013698,1,Archetype B
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,573.0939633461538,873.4108109517282,0.43590574641442353,59.96153846153846,6760.1144210194525,1142.0567800677782,1.9338502979238663,26,0.2692307692307692,0.5769230769230769,1,Archetype B
0x8170715b3b381dffb7062c0298972d4727a0a63b,-1821.9687476195652,38190.08942383133,0.32028170644220266,50.01086956521739,2782.687344213111,10.81749940936453,5.837941655842427,92,0.5,0.2717391304347826,1,Archetype B
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1213.215887148148,5511.299034566663,0.1888747291211057,35.388888888888886,5475.174210575846,823.0592622339776,5.434986437626991,54,0.14814814814814814,0.5740740740740741,1,Archetype B
0x8477e447846c758f5a675856001ea72298fd9cb5,252.3966033103448,3367.9125184012946,0.3051995431656707,86.19540229885058,839.021370213006,140.7878035545563,2.047397545708779,174,0.3045977011494253,0.5517241379310345,1,Archetype B
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,7032.163451888889,15642.867721081608,0.20333037461996042,169.55555555555554,12481.488695021257,2498.7886701574475,77.49335010777833,18,0.3333333333333333,0.6111111111111112,2,Archetype A
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1660.982425875,2678.372530919574,0.2739107378656304,243.828125,1273.0527781456335,14.515814814985303,8.251797836495598,64,0.25,0.484375,1,Archetype B
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,1968.8238992432432,7523.577871362993,0.4114921219752971,11.27027027027027,2007.3297785771122,59.6550501435135,2.9444801384463037,37,0.40540540540540543,0.5405405405405406,1,Archetype B
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,4523.0413020666665,8542.12051178745,0.29853655922621436,37.53333333333333,2959.4760618012087,27.805212725981438,12.314655119916832,15,0.6,0.4,1,Archetype B
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,1087.94158765,2029.2695425579955,0.31476939651867186,26.7,18919.354152424097,9069.846567164455,4.958776476935639,20,0.55,0.25,0,Archetype C
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8372.588272222656,39920.90858902897,0.2845184831155218,57.55078125,4495.49655852293,563.653759930382,8.52876344595324,256,0.24609375,0.5859375,1,Archetype B
0xb899e522b5715391ae1d4f137653e7906c5e2115,642.5285948857144,12369.710508123975,0.4325793426390197,138.22857142857143,26246.518331080708,1139.7217812199851,1.1460403708307014,35,0.8285714285714286,0.0,0,Archetype C
0xbaaaf6571ab7d571043ff1e313a9609a10637864,33577.27879357143,74757.66101524414,0.45562479214327567,756.8571428571429,4528.364242699367,29.58401084213949,45.70947054700071,28,0.7857142857142857,0.07142857142857142,2,Archetype A
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,3291.32928138806,30273.449507840578,0.22402073653037008,39.417910447761194,10511.08274482338,160.33257662212947,7.075545624388531,67,0.47761194029850745,0.3880597014925373,1,Archetype B
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,6382.294298297709,25629.432631190368,0.41102928202983036,306.7480916030534,1760.5388452412292,59.114838138172665,2.089836190098667,131,0.4122137404580153,0.3893129770992366,1,Archetype B
